菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
棒骨山药枸杞汤,8,72.0,酱排骨:10.0g | 山药[薯蓣，大薯](鲜):10.0g | 枸杞菜[枸杞，地骨](鲜):10.0g | 银耳(干)[白木耳]:10.0g | 黄酒:2.0g | 细香葱[香葱，四季葱]:10.0g | 姜[黄姜](鲜):10.0g | 胡椒粉:10.0g,498.96,5.29,3.25,18.99,0.0,8.1,18.92,97.68
鲍鱼汁浸时蔬,7,70.0,扁豆[月亮菜]:10.0g | 西兰花[绿菜花]:10.0g | 胡萝卜(红)[金笋，丁香萝卜]:10.0g | 山药[薯蓣，大薯](鲜):10.0g | 木耳(干)[黑木耳，云耳]:10.0g | 鲍鱼[杂色鲍]:10.0g | 甘薯(红心)[山芋，红薯]:10.0g,262.7,3.55,0.37,13.06,0.0,10.8,68.9,220.13
铁板酸菜,11,110.0,猪肉(奶面)[硬五花]:10.0g | 酸白菜[酸菜]:10.0g | 花豆(干，红):10.0g | 小米:10.0g | 盐水鸭(熟):10.0g | 糖（绵白糖）:10.0g | 酱油(均值):10.0g | 油面筋:10.0g | 鸡蛋黄粉:10.0g | 苹果(均值):10.0g | 玉兰片:10.0g,1286.0,12.64,14.22,33.2,0.0,0.7,55.6,755.12
白果蜜豆银耳甜汤,5,42.0,银耳(干)[白木耳]:10.0g | 白果(干)[银杏]:10.0g | 豆粕:10.0g | 枸杞子:10.0g | 桂圆:2.0g,526.46,7.98,0.63,24.52,0.0,5.66,30.52,42.85
拔丝核桃仁,2,35.0,核桃油:10.0g | 糖（绵白糖）:25.0g,788.75,0.03,9.91,24.8,0.0,0.0,1.7,0.68
果蔬豆浆,5,42.0,中华猕猴桃[毛叶猕猴桃]:10.0g | 豆粕:10.0g | 香蕉[甘蕉]:10.0g | 红萝卜:10.0g | 糖（冰糖）:2.0g,245.86,4.57,0.3,9.89,0.0,7.3,20.36,15.0
菠菜豆沙饼,6,60.0,菠菜[赤根菜](鲜):10.0g | 红豆沙:10.0g | 牛奶(草莓味，卡夫牌):10.0g | 酵母(鲜):10.0g | 藕粉:10.0g | 黑芝麻汤圆:10.0g,483.7,1.7,1.72,23.3,0.2,3.2,24.9,18.74
猪肉滑丸,7,268.0,猪肉(肥瘦)(均值):100.0g | 虾（海虾）:100.0g | 木耳(干)[黑木耳，云耳]:1.0g | 香菇[香蕈，冬菇](鲜):1.0g | 油饼:1.0g | 麦片:15.0g | 蛋（鸡蛋，均值):50.0g,2528.13,38.73,43.36,16.53,0.0,0.01,184.15,436.71
海虹肉,1,2.0,海带[江白菜](鲜):2.0g,1.1,0.02,0.0,0.04,0.0,0.0,0.92,0.17
薄荷木瓜酿山药,2,26.0,木瓜[番木瓜]:25.0g | 山药[薯蓣，大薯](鲜):1.0g,32.93,0.12,0.03,1.87,0.0,10.8,4.41,7.19
鲍鱼汁炒螺蛳,12,120.0,鲍鱼[杂色鲍]:10.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 大蒜[蒜头](鲜):10.0g | 辣椒(红，尖，干):10.0g | 花椒:10.0g | 大麦[元麦]:10.0g | 茴香[小茴香](鲜):10.0g | 崇明老白酒:10.0g | 酱油(均值):10.0g | 糖（绵白糖）:10.0g | 鸡精:10.0g,877.2,7.09,2.75,43.18,0.07,5.4,131.3,2691.97
水磨粘米粉,2,4.0,籼米:2.0g | 糯米[江米](均值):2.0g,58.52,0.3,0.04,3.13,0.12,0.0,0.76,0.06
红烧蛋饺,6,796.0,蛋（鸡蛋，均值):450.0g | 猪肉(肋条肉):250.0g | 细香葱[香葱，四季葱]:1.0g | 玉兰片:50.0g | 料酒:15.0g | 酱油(均值):30.0g,8768.21,86.15,187.33,25.0,0.0,0.64,310.44,2560.3
板鸭炖猪肚,4,120.0,鸭(均值):50.0g | 猪肚:50.0g | 大葱:10.0g | 料酒:10.0g,741.9,15.55,12.43,1.1,0.0,1.7,12.8,99.53
笨蛋炒韭菜苔,4,221.0,鸡蛋(白皮):200.0g | 韭菜:1.0g | 油饼:10.0g | 盐水鸭(熟):10.0g,1447.21,27.87,22.9,7.57,0.0,0.24,102.02,402.48
双歧杆菌,2,5.0,小米:1.0g | 牛奶(草莓味，卡夫牌):4.0g,28.58,0.2,0.15,1.16,0.0,0.0,3.53,1.18
冰镇鲜香微波煎鸡蛋,10,174.0,陈醋:15.0g | 蛋（鸡蛋，均值):50.0g | 番茄[西红柿]:50.0g | 冰淇淋:10.0g | 盐水鸭(熟):2.0g | 胡椒粉:2.0g | 生抽:15.0g | 油饼:10.0g | 香菜[芫荽](鲜):10.0g | 油饼:10.0g,887.99,11.81,10.28,18.51,0.0,14.3,86.29,1307.37
百里香煎鸡排,8,80.0,鸡胸脯肉:10.0g | 料酒:10.0g | 鸡蛋(白皮):10.0g | 藕粉:10.0g | 味精:10.0g | 盐水鸭(熟):10.0g | 面包(均值):10.0g | 苹果(均值):10.0g,670.7,9.78,4.56,19.84,0.0,0.4,23.6,1035.94
熬酱土豆拌面,5,50.0,马铃薯[土豆，洋芋]:10.0g | 面条(均值):10.0g | 黄瓜[胡瓜](鲜):10.0g | 黄豆酱油:10.0g | 大葱:10.0g,191.0,1.79,0.16,9.27,0.0,5.3,9.7,574.02
贝壳蜂蜜蛋糕,5,290.0,藕粉:80.0g | 蛋（鸡蛋，均值):100.0g | 蜂蜜:40.0g | 糖（白砂糖）:40.0g | 玉米油:30.0g,4193.9,13.62,39.32,147.55,0.0,1.2,72.3,140.84
岳阳姜辣凤爪,9,798.0,鸡爪:10.0g | 大葱:2.0g | 彩椒:750.0g | 豆角:10.0g | 酱油(均值):2.0g | 生抽:2.0g | 酱鸭:10.0g | 盐水鸭(熟):2.0g | 味精:10.0g,1198.58,18.86,5.55,52.61,24.75,782.14,87.82,1256.45
虾肉馄饨馅,12,1223.0,虾米[海米，虾仁]:400.0g | 糜子(带皮):300.0g | 大葱:200.0g | 蛋（鸡蛋，均值):50.0g | 木耳(干)[黑木耳，云耳]:1.0g | 荠菜[蓟菜，菱角菜](鲜):200.0g | 芝麻油[香油]:15.0g | 油面筋:10.0g | 生抽:30.0g | 盐水鸭(熟):10.0g | 藕粉:2.0g | 胡椒粉:5.0g,9491.8,228.85,38.23,259.81,0.0,120.0,3203.78,21810.17
茄子烧排骨,14,803.0,酱排骨:350.0g | 茄子(均值):300.0g | 小米:15.0g | 小米:15.0g | 彩椒:1.0g | 小米:2.0g | 料酒:15.0g | 老抽:15.0g | 油饼:15.0g | 酱油(均值):15.0g | 小麦粉(标准粉):15.0g | 小米:15.0g | 大葱:15.0g | 玉米淀粉:15.0g,7173.14,88.86,99.29,119.87,0.03,18.59,161.01,4936.15
松花淡菜粥,1,1.0,味精:1.0g,11.4,0.4,0.0,0.27,0.0,0.0,1.0,81.6
